name,mean control kernel size,number of attractors,size,number of core nodes,number of isolated fixed points
random_57_tpNone_seed7011,13.633156966490299,2268,20,20.0,128.0
random_27_tp0.5_seed3321,4.666666666666667,28,15,15.0,0.0
random_35_tpNone_seed4305,8.0,2,15,15.0,1.0
random_31_tp0.5_seed3813,6.476190476190476,50,15,15.0,0.0
random_70_tpNone_seed8610,8.166666666666666,6,20,20.0,2.0
random_43_tp0.5_seed5289,5.666666666666667,39,15,15.0,2.0
random_15_tp0.5_seed1845,3.6666666666666665,9,10,10.0,0.0
random_47_tp0.5_seed5781,7.447368421052632,78,15,15.0,0.0
random_13_tp0.5_seed1599,2.5,6,10,10.0,2.0
random_22_tpNone_seed2706,4.444444444444445,9,10,10.0,1.0
random_53_tpNone_seed6519,15.816242338519567,33936,20,20.0,1024.0
random_41_tp0.5_seed5043,5.733333333333333,30,15,15.0,0.0
random_54_tpNone_seed6642,15.49561403508772,16416,20,20.0,216.0
random_46_tpNone_seed5658,5.5,4,15,15.0,1.0
random_67_tp0.5_seed8241,6.0,38,20,20.0,0.0
random_1_tpNone_seed123,7.487179487179487,78,10,10.0,24.0
random_18_tpNone_seed2214,5.973684210526316,38,10,10.0,4.0
random_67_tpNone_seed8241,11.605263157894736,418,20,20.0,17.0
random_70_tp0.5_seed8610,7.588235294117647,68,20,20.0,0.0
random_35_tp0.5_seed4305,6.615384615384615,26,15,15.0,2.0
random_5_tpNone_seed615,6.545454545454546,44,10,10.0,8.0
random_10_tpNone_seed1230,5.68,25,10,10.0,2.0
random_45_tpNone_seed5535,8.0,2,15,15.0,1.0
random_41_tpNone_seed5043,5.333333333333333,12,15,15.0,1.0
random_20_tp0.5_seed2460,2.0,3,10,10.0,0.0
random_38_tp0.5_seed4674,6.285714285714286,32,15,15.0,0.0
random_57_tp0.5_seed7011,6.25,88,20,20.0,0.0
random_39_tpNone_seed4797,8.975308641975309,405,15,15.0,13.000000000000002
random_8_tpNone_seed984,6.676923076923077,65,10,10.0,13.0
random_2_tpNone_seed246,7.313432835820896,67,10,10.0,8.0
random_74_tpNone_seed9102,9.614832535885167,418,20,20.0,2.0
random_11_tpNone_seed1353,5.5,18,10,10.0,4.0
random_73_tp0.5_seed8979,5.866666666666666,38,20,20.0,2.0
random_51_tpNone_seed6273,14.84981684981685,6552,20,20.0,512.0
random_1_tp0.5_seed123,3.5,8,10,10.0,0.0
random_66_tpNone_seed8118,9.53048780487805,164,20,20.0,12.0
random_65_tpNone_seed7995,7.875,16,20,20.0,4.0
random_32_tpNone_seed3936,10.06060606060606,330,15,15.0,20.0
random_0_tpNone_seed0,8.555555555555555,288,10,10.0,96.0
random_63_tpNone_seed7749,13.06081081081081,1036,20,20.0,128.0
random_44_tp0.5_seed5412,7.1,69,15,15.0,0.0
random_28_tp0.5_seed3444,7.666666666666667,256,15,15.0,0.0
random_18_tp0.5_seed2214,3.75,14,10,10.0,4.0
random_61_tp0.5_seed7503,6.647058823529412,68,20,20.0,0.0
random_58_tpNone_seed7134,14.417207090358842,9252,20,20.0,264.0
random_69_tp0.5_seed8487,7.387755102040816,110,20,20.0,0.0
random_59_tpNone_seed7257,13.79604333490344,4246,20,20.0,146.0
random_4_tp0.5_seed492,4.0,24,10,10.0,0.0
random_3_tp0.5_seed369,4.4,20,10,10.0,0.0
random_52_tp0.5_seed6396,8.0,384,20,20.0,0.0
random_26_tpNone_seed3198,12.202777777777778,2880,15,15.0,448.0
random_10_tp0.5_seed1230,6.0,34,10,10.0,2.0
random_54_tp0.5_seed6642,8.333333333333334,288,20,20.0,0.0
random_55_tpNone_seed6765,10.571428571428571,56,20,20.0,16.0
random_37_tpNone_seed4551,8.0,56,15,15.0,2.0
random_7_tp0.5_seed861,5.25,32,10,10.0,0.0
random_21_tpNone_seed2583,3.875,8,10,10.0,1.0
random_40_tpNone_seed4920,10.333333333333334,3,15,15.0,2.0
random_29_tp0.5_seed3567,5.0,32,15,15.0,0.0
random_19_tp0.5_seed2337,3.0,8,10,10.0,0.0
random_47_tpNone_seed5781,8.074626865671641,67,15,15.0,4.0
random_34_tp0.5_seed4182,7.6,60,15,15.0,0.0
random_4_tpNone_seed492,9.38888888888889,144,10,10.0,128.0
random_34_tpNone_seed4182,10.917387127761767,1041,15,15.0,87.0
random_6_tpNone_seed738,6.4,45,10,10.0,5.0
random_25_tpNone_seed3075,11.238095238095237,1344,15,15.0,64.0
random_17_tp0.5_seed2091,2.0,5,10,10.0,0.0
random_40_tp0.5_seed4920,5.0,8,15,15.0,0.0
random_61_tpNone_seed7503,10.562737642585551,263,20,20.0,4.0
random_71_tp0.5_seed8733,6.785714285714286,64,20,20.0,0.0
random_55_tp0.5_seed6765,9.214285714285714,448,20,20.0,0.0
random_32_tp0.5_seed3936,4.545454545454546,24,15,15.0,0.0
random_7_tpNone_seed861,6.8076923076923075,52,10,10.0,4.0
random_30_tp0.5_seed3690,2.75,8,15,15.0,0.0
random_29_tpNone_seed3567,11.501123595505618,1780,15,15.0,192.0
random_14_tpNone_seed1722,6.021739130434782,46,10,10.0,6.0
random_33_tp0.5_seed4059,3.0,8,15,15.0,0.0
random_23_tpNone_seed2829,5.3076923076923075,13,10,10.0,3.0
random_2_tp0.5_seed246,4.0,12,10,10.0,0.0
random_42_tp0.5_seed5166,6.538461538461538,28,15,15.0,0.0
random_37_tp0.5_seed4551,3.6666666666666665,11,15,15.0,0.0
random_58_tp0.5_seed7134,8.691176470588236,352,20,20.0,0.0
random_71_tpNone_seed8733,5.909090909090909,11,20,20.0,1.0
random_49_tp0.5_seed6027,5.0,3,15,15.0,2.0
random_69_tpNone_seed8487,10.786653185035389,989,20,20.0,13.0
random_12_tp0.5_seed1476,2.5,4,10,10.0,0.0
random_45_tp0.5_seed5535,7.8,30,15,15.0,12.0
random_68_tp0.5_seed8364,5.7272727272727275,26,20,20.0,0.0
random_48_tpNone_seed5904,7.140350877192983,57,15,15.0,1.0
random_48_tp0.5_seed5904,4.0,16,15,15.0,2.0
random_21_tp0.5_seed2583,3.8,17,10,10.0,2.0
random_39_tp0.5_seed4797,5.266666666666667,46,15,15.0,0.0
random_8_tp0.5_seed984,4.4,20,10,10.0,0.0
random_60_tp0.5_seed7380,9.10377358490566,212,20,20.0,0.0
random_36_tp0.5_seed4428,5.125,22,15,15.0,0.0
